id	SPE_0xA_AR01	SPE_0xA_AR02	SPE_0xA_AR03	SPE_0xA_AR04	SPE_0xA_AR05	SPE_0xA_AR06	SPE_0xA_AR07	SPE_0xA_AR08	SPE_0xA_AR09	SPE_0xA_AR10
S0_M_T1179	0	0	0	0	0	0	0	0	0	0
S0_M_T118	3	1	1	0	0	2	0	0	0	0
S0_M_T1180	1	0	0	0	0	0	0	0	0	0
S0_M_T1181	3	5	6	4	2	3	5	2	4	1
S0_M_T1182	0	0	0	0	0	0	1	0	0	0
S0_M_T1183	11	19	17	11	15	19	16	16	13	11
S0_M_T1184	2	2	0	1	1	2	1	2	1	0
S0_M_T1185	0	0	0	0	0	0	1	0	4	0
S0_M_T1186	0	1	0	3	0	0	2	2	1	1
S0_M_T1187	3	4	1	1	3	3	5	2	5	2
S0_M_T1188	0	0	0	0	0	0	0	0	0	0
S0_M_T1189	0	0	0	0	0	0	0	0	0	0
S0_M_T119	75	57	32	38	32	18	12	7	13	3
S0_M_T1190	4	3	3	1	2	1	2	2	1	1
S0_M_T1191	0	0	0	0	0	0	0	0	0	0
S0_M_T1192	0	0	0	0	0	1	1	0	0	1
S0_M_T1193	5	11	4	5	4	3	5	5	3	2
S0_M_T1194	159	177	138	126	135	130	129	139	129	64
S0_M_T1195	35	30	19	11	11	14	8	12	21	6
S0_M_T1196	14	4	5	4	4	1	1	3	1	2
S0_M_T1197	56	48	28	23	18	10	10	9	5	5
S0_M_T1198	1	0	1	0	0	0	0	0	0	0
S0_M_T1199	32	19	8	20	10	7	6	1	2	3
S0_M_T12	15	29	9	13	5	6	13	4	5	3
S0_M_T120	76	57	28	24	22	21	16	6	9	3
S0_M_T1200	20	17	10	7	7	8	10	12	8	8
S0_M_T1201	75	66	34	33	39	21	45	30	38	14
S0_M_T1202	38	21	21	21	21	24	18	20	9	9
S0_M_T1203	14	15	15	12	9	13	12	12	17	10
S0_M_T1204	41	38	22	23	24	23	20	8	12	4
S0_M_T1205	268	198	73	72	75	54	51	35	48	24
S0_M_T1206	16	16	9	10	12	11	7	3	4	4
S0_M_T1207	34	39	21	16	6	9	9	1	5	9
S0_M_T1208	1	1	1	0	0	0	1	0	2	0
S0_M_T1209	20	9	3	8	5	6	6	2	5	2
S0_M_T121	493	441	227	198	187	106	85	66	68	29
S0_M_T1210	27	26	8	10	20	14	20	18	18	12
S0_M_T1211	8	2	3	3	2	0	1	5	1	5
S0_M_T1212	220	185	149	160	159	169	226	208	241	121
S0_M_T1213	305	326	177	200	202	245	242	229	277	137
S0_M_T1214	319	258	186	163	209	189	219	196	262	142
S0_M_T1215	392	250	158	143	152	158	142	122	148	61
S0_M_T1216	83	64	35	42	37	42	47	28	52	14
S0_M_T1217	338	244	183	210	222	195	229	204	252	81
S0_M_T1218	81	93	62	70	73	78	71	76	83	61
S0_M_T1219	282	241	154	146	145	147	175	133	154	69
S0_M_T122	20	8	6	6	2	2	4	4	1	0
S0_M_T1220	18	28	23	13	9	9	13	13	17	5
S0_M_T1221	22	20	14	17	22	13	14	27	29	12
S0_M_T1222	87	94	57	71	60	69	68	75	76	46
S0_M_T1223	6	3	0	2	2	0	0	0	0	0
S0_M_T1224	2	5	5	2	3	4	1	1	0	0
S0_M_T1225	8	2	8	3	4	3	6	0	3	0
S0_M_T1226	7	5	2	2	4	2	3	1	4	5
S0_M_T1227	7	3	5	2	5	2	0	1	1	0
S0_M_T1228	8	4	7	4	8	1	0	0	2	1
S0_M_T1229	10	15	9	7	3	0	3	1	0	1
S0_M_T123	28	29	15	5	6	2	1	4	2	3
S0_M_T1230	28	28	18	10	13	21	12	9	5	2
S0_M_T1231	1	2	1	0	1	1	0	0	0	0
S0_M_T1232	16	7	4	4	5	4	1	1	1	0
S0_M_T1233	1	2	3	1	5	0	0	0	2	2
S0_M_T1234	12	12	10	5	6	2	5	3	3	1
S0_M_T1235	6	3	5	4	2	2	1	0	3	0
S0_M_T1236	32	35	23	21	30	16	10	10	13	3
S0_M_T1237	33	33	25	32	18	10	6	5	6	6
S0_M_T1238	17	24	14	19	9	13	5	3	4	1
S0_M_T1239	111	96	68	73	79	32	27	54	67	36
S0_M_T124	57	59	32	24	16	17	11	7	8	6
S0_M_T1240	5	3	1	6	1	0	1	1	2	0
S0_M_T1241	47	37	25	25	25	16	15	12	19	7
S0_M_T1242	17	14	14	10	13	7	3	9	5	3
S0_M_T1243	51	42	27	19	11	15	4	7	6	3
S0_M_T1244	38	40	23	7	15	11	8	4	1	3
S0_M_T1245	1	3	1	0	1	0	0	2	1	0
S0_M_T1246	1	3	0	0	1	1	0	0	1	0
S0_M_T1247	5	3	1	1	3	1	2	0	0	1
S0_M_T1248	39	27	23	21	20	17	11	8	10	2
S0_M_T1249	21	13	9	1	4	1	3	0	1	0
S0_M_T125	1	0	0	1	0	0	0	0	0	0
S0_M_T1250	17	9	10	4	8	2	1	1	4	0
S0_M_T1251	64	63	28	21	24	11	12	6	5	4
S0_M_T1252	57	39	20	22	10	11	5	6	7	6
S0_M_T1253	46	26	23	45	42	18	14	28	21	8
S0_M_T1254	20	11	11	11	15	4	3	13	9	4
S0_M_T1255	36	45	18	10	23	8	6	5	8	4
S0_M_T1256	38	32	22	28	16	7	14	7	5	2
S0_M_T1257	0	0	1	0	0	0	0	0	0	0
S0_M_T1258	0	0	0	0	0	0	0	0	0	0
S0_M_T1259	24	19	11	6	11	3	5	1	4	1
S0_M_T126	16	6	2	5	5	0	0	5	2	0
S0_M_T1260	16	6	5	5	6	9	7	2	7	1
S0_M_T1261	6	3	4	2	1	1	0	0	1	1
S0_M_T1262	11	2	4	7	2	2	0	1	3	1
S0_M_T1263	115	95	30	38	39	17	13	6	11	5
S0_M_T1264	12	10	2	4	1	0	1	1	1	4
S0_M_T1265	2	3	2	2	3	2	1	0	2	0
S0_M_T1266	13	7	7	5	4	3	4	1	1	1
S0_M_T1267	16	5	1	5	3	1	1	3	3	2
S0_M_T1268	2	4	1	3	1	2	0	0	0	1
S0_M_T1269	3	6	2	2	2	2	0	1	1	1
S0_M_T127	55	22	15	10	8	10	8	5	3	8
S0_M_T1270	18	23	16	8	12	5	7	5	4	2
S0_M_T1271	7	6	4	5	4	2	4	0	7	0
S0_M_T1272	1	0	0	0	0	0	0	0	0	0
S0_M_T1273	23	28	14	14	13	8	4	3	4	3
S0_M_T1274	12	20	10	7	6	2	2	0	4	4
S0_M_T1275	1	0	1	2	0	2	1	0	0	0
S0_M_T1276	10	9	1	3	2	0	1	0	0	0
S0_M_T1277	0	0	0	0	0	0	0	1	0	0
S0_M_T1278	25	37	21	20	18	12	20	21	19	9
S0_M_T1279	86	88	26	26	24	14	11	11	10	5
S0_M_T128	7	7	6	3	0	3	0	0	1	1
S0_M_T1280	462	366	153	145	127	89	73	66	66	39
S0_M_T1281	3	0	0	2	1	2	0	1	0	0
S0_M_T1282	21	5	9	7	1	3	4	0	1	3
S0_M_T1283	107	90	72	59	34	24	16	9	14	10
S0_M_T1284	9	9	12	8	6	3	5	0	1	0
S0_M_T1285	0	2	1	2	1	1	2	2	1	1
S0_M_T1286	0	0	0	0	0	0	0	0	0	0
S0_M_T1287	0	0	1	0	1	0	0	0	1	0
S0_M_T1288	4	3	3	3	8	1	1	2	2	1
S0_M_T1289	1	3	2	1	1	0	0	1	0	0
S0_M_T129	16	6	2	5	5	0	0	5	2	0
S0_M_T1290	5	8	11	3	2	2	1	1	4	1
S0_M_T1291	29	10	14	22	9	6	3	4	8	6
S0_M_T1292	99	58	43	49	63	16	13	25	24	21
S0_M_T1293	0	4	0	3	0	0	0	2	0	0
S0_M_T1294	0	5	5	4	9	2	0	1	3	1
S0_M_T1295	22	15	14	21	15	10	1	2	3	0
S0_M_T1296	61	32	33	45	47	5	3	5	4	1
S0_M_T1297	5	2	4	2	2	2	0	2	2	1
S0_M_T1298	1	4	3	3	0	1	1	0	1	1
S0_M_T1299	5	6	5	3	4	1	3	1	1	0
S0_M_T13	44	48	26	26	22	18	21	16	19	17
S0_M_T130	2	0	0	0	1	1	0	1	0	0
S0_M_T1300	16	13	5	8	6	3	2	2	3	2
S0_M_T1301	4	6	1	4	5	1	0	3	5	2
S0_M_T1302	2	1	0	0	2	0	0	0	0	0
S0_M_T1303	76	64	67	54	76	34	34	75	97	44
S0_M_T1304	17	6	11	14	17	3	11	22	18	9
S0_M_T1305	154	129	85	112	133	64	105	85	88	59
S0_M_T1306	193	172	131	106	138	109	105	88	112	51
S0_M_T1307	0	0	0	0	0	0	0	0	0	0
S0_M_T1308	0	1	3	0	0	0	0	1	0	0
S0_M_T1309	131	92	53	46	45	30	30	20	21	13
S0_M_T131	0	0	0	0	0	0	0	0	0	0
S0_M_T1310	14	6	6	5	0	4	3	0	2	1
S0_M_T1311	23	21	10	5	5	7	3	1	1	3
S0_M_T1312	2	1	2	2	2	0	0	0	0	0
S0_M_T1313	87	86	57	36	27	15	10	10	12	8
S0_M_T1314	284	253	146	122	106	46	48	24	36	21
S0_M_T1315	0	2	1	0	0	0	0	0	0	0
S0_M_T1316	0	0	0	0	0	0	0	0	0	0
S0_M_T1317	5	1	1	0	0	3	1	0	0	2
S0_M_T1318	45	39	18	28	21	7	5	4	5	6
S0_M_T1319	2	3	0	1	0	0	0	6	1	1
S0_M_T132	81	73	34	38	31	17	18	17	6	1
S0_M_T1320	0	0	0	0	1	0	0	0	0	0
S0_M_T1321	5	4	3	3	16	8	5	2	6	1
S0_M_T1322	28	41	31	19	28	16	29	18	32	13
S0_M_T133	16	6	2	5	5	0	0	5	2	0
S0_M_T134	22	17	5	10	9	6	5	2	1	2
S0_M_T135	31	18	11	6	4	8	6	3	1	0
S0_M_T136	4	4	1	2	9	1	1	2	3	0
S0_M_T137	465	455	258	287	202	115	89	64	43	23
S0_M_T138	54	41	25	17	15	11	3	5	3	4
S0_M_T139	91	61	37	21	27	12	6	10	7	4
S0_M_T14	16	10	13	11	11	2	5	1	2	2
S0_M_T140	610	501	261	237	200	147	106	80	89	49
S0_M_T141	4	4	1	2	9	1	1	2	3	0
S0_M_T142	465	455	258	287	202	115	89	64	43	23
S0_M_T143	27	17	10	6	2	7	6	3	1	0
S0_M_T144	91	61	37	21	27	12	6	10	7	4
S0_M_T145	610	501	261	237	200	147	106	80	89	49
S0_M_T146	4	4	1	2	9	1	1	2	3	0
S0_M_T147	91	61	37	21	27	12	6	10	7	4
S0_M_T148	610	501	261	237	200	147	106	80	89	49
S0_M_T149	465	455	258	287	202	115	89	64	43	23
S0_M_T15	76	78	50	50	62	47	48	41	49	29
S0_M_T150	54	41	25	17	15	11	3	5	3	4
S0_M_T151	91	61	37	21	27	12	6	10	7	4
S0_M_T152	173	114	66	48	51	19	10	18	15	11
S0_M_T153	465	455	258	287	202	115	89	64	43	23
S0_M_T154	91	61	37	21	27	12	6	10	7	4
S0_M_T155	610	501	261	237	200	147	106	80	89	49
S0_M_T156	465	455	258	287	202	115	89	64	43	23
S0_M_T157	54	41	25	17	15	11	3	5	3	4
S0_M_T158	91	61	37	21	27	12	6	10	7	4
S0_M_T159	610	501	261	237	200	147	106	80	89	49
S0_M_T16	28	28	13	14	10	12	13	17	18	23
S0_M_T160	4	4	1	2	9	1	1	2	3	0
S0_M_T161	465	455	258	287	202	115	89	64	43	23
S0_M_T162	54	41	25	17	15	11	3	5	3	4
S0_M_T163	91	61	37	21	27	12	6	10	7	4
S0_M_T164	610	501	261	237	200	147	106	80	89	49
S0_M_T165	4	4	1	2	9	1	1	2	3	0
S0_M_T166	7	4	3	6	1	1	2	1	3	0
S0_M_T167	10	5	5	2	6	1	3	0	0	0
S0_M_T168	91	61	37	21	27	12	6	10	7	4
S0_M_T169	610	501	261	237	200	147	106	80	89	49
S0_M_T17	0	1	1	0	3	1	0	0	2	1
S0_M_T170	465	455	258	287	202	115	89	64	43	23
S0_M_T171	610	501	261	237	200	147	106	80	89	49
S0_M_T172	465	455	258	287	202	115	89	64	43	23
S0_M_T173	54	41	25	17	15	11	3	5	3	4
S0_M_T174	91	61	37	21	27	12	6	10	7	4
S0_M_T175	610	501	261	237	200	147	106	80	89	49
S0_M_T176	465	455	258	287	202	115	89	64	43	23
S0_M_T177	142	114	58	56	39	25	12	9	12	2
S0_M_T178	91	61	37	21	27	12	6	10	7	4
S0_M_T179	610	501	261	237	200	147	106	80	89	49
S0_M_T18	26	23	10	17	18	15	15	4	3	0
S0_M_T180	54	41	25	17	15	11	3	5	3	4
S0_M_T181	465	455	258	287	202	115	89	64	43	23
S0_M_T182	54	41	25	17	15	11	3	5	3	4
S0_M_T183	53	52	21	26	22	13	6	12	7	11
S0_M_T184	16	9	8	12	10	5	7	6	8	13
S0_M_T185	20	14	13	8	8	1	2	3	4	4
S0_M_T186	6	7	4	3	4	3	1	1	2	0
S0_M_T187	13	11	16	12	10	1	1	3	2	1
S0_M_T188	17	23	20	10	6	0	4	2	2	3
S0_M_T189	11	13	8	10	7	5	3	1	1	1
S0_M_T19	34	41	23	23	11	12	3	5	4	2
S0_M_T190	30	19	15	11	1	4	3	6	5	1
